,stadtteil,green_area_total_ha,green_area_mean_ha,green_space_count,stadtteil_,inhabitants,z_area_per_inhbt,z_perc_green_area,z_area_per_inhbt_percentile,status
0,Allermöhe,41.4007,3.4500583333333332,7,Allermöhe,1441.0,-0.5974969179350095,0.2951811954170555,0,very low
1,Alsterdorf,13.628599999999999,0.5925478260869564,6,Alsterdorf,14975.0,-0.17594442543733607,0.5307968854635646,3,high
2,Altengamme,0.213,0.213,0,Altengamme,2319.0,3.7022829760741236,0.8539099840131426,4,very high
3,Altona-Altstadt,28.3002,0.49649473684210527,37,Altona-Altstadt,29151.0,-0.2031748756060972,-2.6943674983255774,3,high
4,Altona-Nord,8.0044,0.47084705882352945,1,Altona-Nord,25942.0,0.6727878361356611,5.245037383680292,4,very high
5,Bahrenfeld,195.1327,3.0973444444444445,36,Bahrenfeld,29435.0,-0.5515217812277161,-0.28630366899244547,0,very low
6,Barmbek-Nord,24.9692,0.43050344827586207,21,Barmbek-Nord,41964.0,0.05458056783387956,0.23733820935545302,4,very high
7,Barmbek-Süd,30.796,0.6284897959183673,12,Barmbek-Süd,35709.0,-0.1518785898570643,-0.5302145005753384,3,high
8,Bergedorf,55.3476,0.5765375,29,Bergedorf,130711.0,0.3243965331229373,0.053233500312181,4,very high
9,Bergstedt,22.605800000000002,0.9828608695652175,8,Bergstedt,10738.0,-0.4230873292868122,-1.5883010415324583,1,low
10,Billstedt,195.3491,1.641589075630252,60,Billstedt,70790.0,-0.4677130262978023,0.0831038458283891,1,low
11,Billwerder,8.6537,0.8653700000000001,3,Billwerder,3184.0,-0.465510857392548,1.9520637261789149,1,low
12,Blankenese,97.5193,2.321888095238095,20,Blankenese,13656.0,-0.5558056055281385,-0.4496288343652159,0,very low
13,Borgfelde,6.046,0.6046,4,Borgfelde,8276.0,-0.06895163290848223,-0.009423191645914156,3,high
14,Bramfeld,61.0736,0.8601915492957747,19,Bramfeld,52573.0,-0.2702317415853133,-0.6903958924340532,2,medium
15,Cranz,0.585,0.585,0,Cranz,840.0,-0.042382965344386674,0.23748038678418584,3,high
16,Curslack,6.093000000000001,1.2186000000000001,2,Curslack,4034.0,-0.348973789292362,-1.3955607312484084,2,medium
17,Dulsberg,13.4829,0.84268125,8,Dulsberg,16839.0,-0.11646550332892672,0.25836881176998006,3,high
18,Duvenstedt,6.4487,0.5373916666666666,0,Duvenstedt,6010.0,-0.24203927815097073,0.20525605822032278,2,medium
19,Eidelstedt,18.0839,0.4410707317073171,19,Eidelstedt,35686.0,0.1705593305700225,-0.4350149266184759,4,very high
20,Eilbek,13.4262,0.6102818181818181,8,Eilbek,22235.0,0.04485771029093407,-0.09895878440446815,4,very high
21,Eimsbüttel,23.2011,0.29745,25,Eimsbüttel,269964.0,3.99884098137984,0.19289706351484323,4,very high
22,Eißendorf,15.0506,0.602024,17,Eißendorf,24780.0,0.0410366110192443,0.5710869583053516,3,high
23,Eppendorf,22.2924,0.6755272727272728,20,Eppendorf,24538.0,-0.17517514677413076,-0.8154283355437828,3,high
24,Farmsen-Berne,87.3333,1.2656999999999998,21,Farmsen-Berne,35843.0,-0.4486798034432963,0.14799361432014213,1,low
26,Fuhlsbüttel,14.317599999999999,0.6225043478260869,8,Fuhlsbüttel,13515.0,-0.23729582573235986,0.2029518184108577,2,medium
27,Groß Borstel,41.1172,1.7877043478260868,15,Groß Borstel,10224.0,-0.512769744564784,-1.483310874870983,0,very low
28,Groß Flottbek,5.7348,0.4096285714285714,3,Groß Flottbek,11079.0,0.15412966165710057,-1.443617386597859,4,very high
29,HafenCity,7.2706,1.038657142857143,7,HafenCity,6302.0,-0.2678685226401175,0.7694299922330824,2,medium
30,Hamburg-Altstadt,1.1248,0.22496,3,Hamburg-Altstadt,2358.0,0.21929808158077463,-0.06859273949308567,4,very high
31,Hamm,35.5904,0.6978509803921569,30,Hamm,38044.0,-0.18777194339713907,-1.575668810564725,3,high
32,Hammerbrook,5.9749,0.4596076923076923,8,Hammerbrook,5259.0,-0.2625580159683875,-0.7190404819913093,2,medium
33,Harburg,28.8476,0.9305677419354839,22,Harburg,170482.0,1.7301610836292542,-0.2784703777886347,4,very high
34,Harvestehude,23.8187,0.3904704918032787,52,Harvestehude,17709.0,-0.31671500183320417,0.006299459679996591,2,medium
35,Hausbruch,26.9449,0.8691903225806452,10,Hausbruch,16753.0,-0.36494898235037704,-0.4197024843073238,2,medium
36,Heimfeld,40.5386,2.384623529411765,5,Heimfeld,22255.0,-0.3937794963966363,-0.6049351149083529,2,medium
37,Hoheluft-Ost,0.8071,0.16142,0,Hoheluft-Ost,9722.0,4.161191422355933,0.1288812098568882,4,very high
38,Hoheluft-West,2.3584,0.3930666666666667,1,Hoheluft-West,13323.0,1.6269199960434881,0.17989901288149093,4,very high
39,Hohenfelde,6.3931000000000004,0.3364789473684211,1,Hohenfelde,9905.0,0.002557805631710072,0.22892453578257577,3,high
40,Horn,34.4819,0.565277049180328,39,Horn,37627.0,-0.17894845201909576,0.3487625953066502,3,high
41,Hummelsbüttel,99.1044,2.47761,19,Hummelsbüttel,18505.0,-0.5373075822160849,0.16994225991242545,0,very low
42,Iserbrook,2.6925,0.24477272727272725,5,Iserbrook,11342.0,1.0576871391279945,-0.25132984226311555,4,very high
43,Jenfeld,39.0511,0.8678022222222221,25,Jenfeld,28105.0,-0.3261419826027138,0.15929024696490005,2,medium
44,Kirchwerder,15.8411,1.3200916666666667,8,Kirchwerder,10178.0,-0.35672560033969447,0.1007821435918102,2,medium
45,Kleiner Grasbrook,0.2002,0.1001,0,Kleiner Grasbrook,1071.0,1.5082503943096341,-1.6743547742871823,4,very high
46,Langenbek,10.378499999999999,0.9434999999999999,0,Langenbek,4017.0,-0.45793745327771845,0.05121069896275271,1,low
47,Langenhorn,161.3807,1.1206993055555554,56,Langenhorn,46142.0,-0.49800526024444364,0.03231972747888737,0,very low
48,Lemsahl-Mellingstedt,23.7148,0.9881166666666666,8,Lemsahl-Mellingstedt,7003.0,-0.49428864106010006,1.3408319286463308,0,very low
49,Lohbrügge,102.8203,1.0600030927835051,56,Lohbrügge,40523.0,-0.4551384391941757,0.3351149744487261,1,low
